Semestre,Día,num_de_hora,Hora_Inicio,Hora_Fin,Curso

10,Lunes,1,08:00 am,08:50 am,libre
10,Lunes,2,08:50 am,09:40 am,Automatizacion de Procesos
10,Lunes,3,09:40 am,10:30 am,Automatizacion de Procesos
10,Lunes,4,10:30 am,11:20 am,Automatizacion de Procesos
10,Lunes,5,11:20 am,12:10 pm,Auditoria de Tecnologias de la Informacion
10,Lunes,6,12:10 pm,13:00 pm,Auditoria de Tecnologias de la Informacion
10,Lunes,7,13:00 pm,13:50 pm,libre
10,Lunes,8,14:30 pm,15:20 pm,libre
10,Lunes,9,15:20 pm,16:10 pm,libre
10,Lunes,10,16:10 pm,17:00 pm,libre
10,Martes,1,08:00 am,08:50 am,Automatizacion de Procesos
10,Martes,2,08:50 am,09:40 am,Automatizacion de Procesos
10,Martes,3,09:40 am,10:30 am,Automatizacion de Procesos
10,Martes,4,10:30 am,11:20 am,Emprendimiento
10,Martes,5,11:20 am,12:10 pm,Emprendimiento
10,Martes,6,12:10 pm,13:00 pm,Emprendimiento
10,Martes,7,13:00 pm,13:50 pm,libre
10,Martes,8,14:30 pm,15:20 pm,Derecho Informatico
10,Martes,9,15:20 pm,16:10 pm,Derecho Informatico
10,Martes,10,16:10 pm,17:00 pm,libre
10,Miércoles,1,08:00 am,08:50 am,Trabajo de Investigación
10,Miércoles,2,08:50 am,09:40 am,Trabajo de Investigación
10,Miércoles,3,09:40 am,10:30 am,Trabajo de Investigación
10,Miércoles,4,10:30 am,11:20 am,Emprendimiento
10,Miércoles,5,11:20 am,12:10 pm,Emprendimiento
10,Miércoles,6,12:10 pm,13:00 pm,libre
10,Miércoles,7,13:00 pm,13:50 pm,libre
10,Miércoles,8,14:30 pm,15:20 pm,libre
10,Miércoles,9,15:20 pm,16:10 pm,libre
10,Miércoles,10,16:10 pm,17:00 pm,libre
10,Jueves,1,08:00 am,08:50 am,Trabajo de Investigación
10,Jueves,2,08:50 am,09:40 am,Trabajo de Investigación
10,Jueves,3,09:40 am,10:30 am,Practicas Pre profesionales II
10,Jueves,4,10:30 am,11:20 am,Practicas Pre profesionales II
10,Jueves,5,11:20 am,12:10 pm,Practicas Pre profesionales II
10,Jueves,6,12:10 pm,13:00 pm,Practicas Pre profesionales II
10,Jueves,7,13:00 pm,13:50 pm,libre
10,Jueves,8,14:30 pm,15:20 pm,Mineria de Datos
10,Jueves,9,15:20 pm,16:10 pm,Mineria de Datos
10,Jueves,10,16:10 pm,17:00 pm,libre
10,Viernes,1,08:00 am,08:50 am,Mineria de Datos
10,Viernes,2,08:50 am,09:40 am,Mineria de Datos
10,Viernes,3,09:40 am,10:30 am,Mineria de Datos
10,Viernes,4,10:30 am,11:20 am,Derecho Informatico
10,Viernes,5,11:20 am,12:10 pm,Derecho Informatico
10,Viernes,6,12:10 pm,13:00 pm,Derecho Informatico
10,Viernes,7,13:00 pm,13:50 pm,libre
10,Viernes,8,14:30 pm,15:20 pm,Auditoria de Tecnologias de la Informacion
10,Viernes,9,15:20 pm,16:10 pm,Auditoria de Tecnologias de la Informacion
10,Viernes,10,16:10 pm,17:00 pm,Auditoria de Tecnologias de la Información

9,Lunes,1,08:00 am,08:50 am,Despliegue de Aplicaciones Web
9,Lunes,2,08:50 am,09:40 am,Despliegue de Aplicaciones Web
9,Lunes,3,09:40 am,10:30 am,Despliegue de Aplicaciones Web
9,Lunes,4,10:30 am,11:20 am,Despliegue de Aplicaciones Web
9,Lunes,5,11:20 am,12:10 pm,Virtualizacion y Servicios en Cloud
9,Lunes,6,12:10 pm,13:00 pm,Virtualizacion y Servicios en Cloud
9,Lunes,7,13:00 pm,13:50 pm,libre
9,Lunes,8,14:30 pm,15:20 pm,Administracion de Tecnologias de la Informacion
9,Lunes,9,15:20 pm,16:10 pm,Administracion de Tecnologias de la Informacion
9,Lunes,10,16:10 pm,17:00 pm,Administracion de Tecnologias de la Informacion
9,Martes,1,08:00 am,08:50 am,Seminario de Tesis II
9,Martes,2,08:50 am,09:40 am,Seminario de Tesis II
9,Martes,3,09:40 am,10:30 am,Seminario de Tesis II
9,Martes,4,10:30 am,11:20 am,Rediseño de Procesos
9,Martes,5,11:20 am,12:10 pm,Rediseño de Procesos
9,Martes,6,12:10 pm,13:00 pm,Rediseño de Procesos
9,Martes,7,13:00 pm,13:50 pm,libre
9,Martes,8,14:30 pm,15:20 pm,libre
